feature_file,task,pc1,pc2
000615_0002.npy,0,12.650947,26.588669
000667_0001.npy,1,19.064993,-13.986545
001644_0000.npy,1,22.595772,-3.3122828
001689_0002.npy,0,15.045403,5.122096
001929_0000.npy,1,26.72494,1.6076748
003535_0001.npy,1,11.737526,14.728429
003624_0002.npy,1,20.48452,-4.3073254
003776_0001.npy,0,8.465769,-0.97227633
006394_0002.npy,1,19.086962,-3.9922311
006463_0001.npy,1,21.653894,9.954402
007377_0000.npy,0,-4.1741405,-6.8748093
007528_0002.npy,1,2.4151773,0.91360986
009559_0000.npy,1,24.842327,-3.2550366
010383_0000.npy,1,25.147346,2.0566373
010387_0002.npy,1,12.8968525,11.9079075
010443_0000.npy,0,21.505129,-2.1266177
010809_0001.npy,1,21.710094,-8.69604
011672_0000.npy,1,-3.5656838,10.162287
011793_0002.npy,1,3.9852977,-8.830045
011861_0001.npy,0,15.371853,-15.417224
012352_0000.npy,1,15.976546,13.532747
012355_0001.npy,0,11.319591,23.04623
012737_0002.npy,0,24.976145,-10.20004
013197_0001.npy,0,21.5056,22.667633
013666_0000.npy,0,23.368826,-6.7863765
013928_0000.npy,1,18.382334,2.2559137
014579_0002.npy,1,14.164755,16.972631
017633_0001.npy,1,18.951954,0.6625109
018112_0000.npy,1,16.137756,-20.097706
018350_0001.npy,0,12.849097,7.5909543
020424_0000.npy,1,-3.5860937,-6.5925245
022094_0002.npy,1,7.005119,-1.8205333
022097_0000.npy,1,19.008282,13.942179
022474_0002.npy,1,10.801599,21.541965
022480_0001.npy,0,9.529459,-5.4719043
024371_0000.npy,1,19.960333,2.123234
025608_0000.npy,0,6.456599,-11.020332
026007_0000.npy,1,0.8930686,-3.51593
026600_0000.npy,0,-16.572025,5.294427
029040_0000.npy,0,0.9611994,-8.205761
029744_0000.npy,0,13.47906,-6.6254945
030095_0001.npy,1,8.817511,-10.423632
030740_0000.npy,0,11.095682,9.934307
031042_0002.npy,0,-0.09465007,0.6607441
031356_0000.npy,0,17.715458,10.488851
032438_0001.npy,1,23.486025,-8.801379
033064_0001.npy,1,19.209581,-19.249172
033064_0002.npy,1,15.856505,-18.838375
033069_0001.npy,1,13.144065,-5.6551714
036099_0001.npy,0,-1.2112423,-14.782012
036302_0001.npy,1,1.8336209,-6.825686
036616_0001.npy,1,17.099615,11.862872
038352_0000.npy,1,7.9617605,2.1636875
038361_0000.npy,0,16.196835,11.716331
038781_0001.npy,1,23.106564,1.3631239
