feature_file,task,pc1,pc2
000615_0002.npy,0,-8.247823,22.504063
000667_0001.npy,1,-14.773878,-10.413942
001644_0000.npy,1,-20.510674,-4.55412
001689_0002.npy,0,-11.571686,1.5301754
001929_0000.npy,1,-13.680473,-0.018528573
003535_0001.npy,1,-11.901828,11.781774
003624_0002.npy,1,-18.144665,-6.5682316
003776_0001.npy,0,-9.524655,-1.0596678
006394_0002.npy,1,-17.216389,-4.3838844
006463_0001.npy,1,-18.656939,5.6136165
007377_0000.npy,0,-1.2243749,-0.9626299
007528_0002.npy,1,-5.4557366,0.7104973
009559_0000.npy,1,-20.29689,-2.4394953
010383_0000.npy,1,-17.618984,0.02667601
010387_0002.npy,1,-5.329633,6.5014153
010443_0000.npy,0,-15.407024,-4.663956
010809_0001.npy,1,-15.116309,-6.154131
011672_0000.npy,1,3.317343,2.744466
011793_0002.npy,1,-9.565875,-6.08073
011861_0001.npy,0,-9.916774,-13.329755
012352_0000.npy,1,-9.906619,8.084933
012355_0001.npy,0,-8.346796,15.291245
012737_0002.npy,0,-15.364031,-9.511817
013197_0001.npy,0,-18.348703,17.941133
013666_0000.npy,0,-20.697933,-5.7154255
013928_0000.npy,1,-11.085614,1.5856444
014579_0002.npy,1,-12.040904,17.481153
017633_0001.npy,1,-12.905462,0.8605642
018112_0000.npy,1,-19.656252,-11.596058
018350_0001.npy,0,-11.739538,6.2108045
020424_0000.npy,1,1.5954877,-5.204888
022094_0002.npy,1,-7.253546,-0.46324405
022097_0000.npy,1,-13.431619,8.207697
022474_0002.npy,1,-5.9666796,13.559136
022480_0001.npy,0,-7.2383475,-2.5339074
024371_0000.npy,1,-14.368082,-0.5897354
025608_0000.npy,0,-6.0400796,-7.924386
026007_0000.npy,1,-1.2427107,0.12558821
026600_0000.npy,0,5.403191,13.777605
029040_0000.npy,0,-4.2661695,-2.7346818
029744_0000.npy,0,-12.235598,0.9547249
030095_0001.npy,1,-8.900993,-1.8078407
030740_0000.npy,0,-10.094776,5.154777
031042_0002.npy,0,-4.7060256,9.146019
031356_0000.npy,0,-15.146819,4.7221503
032438_0001.npy,1,-16.906294,-5.538902
033064_0001.npy,1,-18.62295,-15.16527
033064_0002.npy,1,-15.720595,-14.631995
