feature_file,task,pc1,pc2
000615_0002.npy,0,-4.337945,1.9208133
000667_0001.npy,1,-9.093186,4.2560496
001644_0000.npy,1,-12.140202,-5.6687975
001689_0002.npy,0,-11.539746,-8.319397
001929_0000.npy,1,-6.8735933,0.135095
003535_0001.npy,1,-9.716915,-3.9637268
003624_0002.npy,1,-13.514848,-0.24605177
003776_0001.npy,0,-10.85921,-1.0155988
006394_0002.npy,1,-12.551689,-1.6982839
006463_0001.npy,1,-11.894842,-5.6818056
007377_0000.npy,0,-5.8314686,8.95354
007528_0002.npy,1,-8.321012,6.7048154
009559_0000.npy,1,-14.153943,-2.0417292
010383_0000.npy,1,-11.633848,-3.4883678
010387_0002.npy,1,-6.832678,-1.3540756
010443_0000.npy,0,-10.385995,-4.5523014
010809_0001.npy,1,-9.734466,-11.079185
011672_0000.npy,1,6.0259295,-2.0466008
011793_0002.npy,1,-5.817633,10.657261
011861_0001.npy,0,-7.4099493,5.76046
012352_0000.npy,1,-9.694597,-11.563953
012355_0001.npy,0,-6.9269185,-12.471742
012737_0002.npy,0,-9.176367,6.702899
013197_0001.npy,0,-12.714156,-4.374413
013666_0000.npy,0,-15.1846075,1.3565749
013928_0000.npy,1,-10.199016,-17.675303
014579_0002.npy,1,-8.376869,-3.7079341
017633_0001.npy,1,-11.937861,-3.7339582
018112_0000.npy,1,-7.099749,0.20185243
018350_0001.npy,0,-10.315657,-2.2481592
020424_0000.npy,1,3.3796654,0.41260034
022094_0002.npy,1,-7.665768,5.617782
022097_0000.npy,1,-8.395195,-5.3909755
022474_0002.npy,1,-6.812333,-4.4675126
022480_0001.npy,0,-9.585453,-8.40551
024371_0000.npy,1,-11.653407,-5.337922
025608_0000.npy,0,-6.584301,6.235513
026007_0000.npy,1,-5.475361,8.409932
026600_0000.npy,0,-4.946188,2.7948477
029040_0000.npy,0,-8.861527,5.320756
029744_0000.npy,0,-12.722487,2.3141139
030095_0001.npy,1,-8.896005,6.4803643
030740_0000.npy,0,-10.05734,-16.062672
031042_0002.npy,0,-9.254021,4.257373
031356_0000.npy,0,-9.04998,-3.994206
032438_0001.npy,1,-9.546877,6.575962
033064_0001.npy,1,-13.324909,6.05045
033064_0002.npy,1,-11.123944,5.353478
033069_0001.npy,1,-12.210221,-6.3795247
036099_0001.npy,0,-8.1569395,9.117405
036302_0001.npy,1,-9.23337,7.337746
036616_0001.npy,1,-9.967143,-4.498943
038352_0000.npy,1,-12.853165,0.11209744
038361_0000.npy,0,-3.1734567,0.92103606
038781_0001.npy,1,-13.842094,-10.540526
040147_0000.npy,1,-7.199256,0.7561107
040244_0001.npy,0,-11.353328,4.546014
