feature_file,label,pc1,pc2
000200_0009_supermarket02_12.wav.npy,music,59.378464,24.350183
000695_0004_tube04_12.wav.npy,music,94.50096,-5.010197
000709_0016_tube09_12.wav.npy,music,64.80437,-1.5251788
000995_0010_supermarket06_12.wav.npy,music,142.5316,1.7837664
001069_0011_bus08_12.wav.npy,music,98.15866,1.0152558
001069_0025_office02_12.wav.npy,music,83.5754,21.9523
001197_0004_openairmarket02_12.wav.npy,music,-30.313238,35.23488
001666_0004_supermarket10_12.wav.npy,music,12.732635,13.840735
002012_0012_supermarket04_12.wav.npy,music,119.14498,-3.8943517
002012_0023_tube05_12.wav.npy,music,118.71113,-4.2684765
003264_0015_restaurant10_12.wav.npy,music,-66.16551,9.965297
003535_0018_office08_12.wav.npy,music,-3.8753524,-0.749626
003573_0016_quietstreet07_12.wav.npy,music,115.75222,5.0149217
003624_0015_tube07_12.wav.npy,music,58.734467,4.1457267
003778_0009_openairmarket06_12.wav.npy,music,4.737976,15.474311
003880_0023_tube01_12.wav.npy,music,-59.07598,29.147099
004074_0028_park01_12.wav.npy,music,42.88291,10.376303
004096_0021_tube09_12.wav.npy,music,35.93935,-18.371803
004101_0030_quietstreet10_12.wav.npy,music,23.425524,7.0782957
004688_0021_openairmarket07_12.wav.npy,music,63.509037,-0.8711192
006461_0020_park06_12.wav.npy,music,-25.329542,22.00382
007483_0028_openairmarket03_12.wav.npy,music,50.23294,-2.7864232
007548_0009_restaurant09_12.wav.npy,music,136.55954,1.7064354
007548_0020_supermarket10_12.wav.npy,music,145.17789,-4.914236
010382_0000_restaurant10_12.wav.npy,music,16.750837,1.7287954
010443_0005_tubestation09_12.wav.npy,music,16.771332,10.029342
010535_0010_restaurant06_12.wav.npy,music,8.909427,3.42605
010696_0013_office04_12.wav.npy,music,108.45272,7.208931
010809_0009_busystreet03_12.wav.npy,music,77.730354,-1.241835
011198_0006_bus03_12.wav.npy,music,89.89708,-17.485971
011672_0023_openairmarket07_12.wav.npy,music,-19.46998,-33.248722
011681_0020_tubestation06_12.wav.npy,music,70.45002,9.875273
011779_0008_park06_12.wav.npy,music,86.903755,0.42303005
011861_0004_office01_12.wav.npy,music,18.811794,17.945187
011867_0009_quietstreet07_12.wav.npy,music,13.614792,14.645762
012053_0010_busystreet10_12.wav.npy,music,-16.75878,23.026814
012352_0016_busystreet02_12.wav.npy,music,47.43893,1.401264
012355_0023_park10_12.wav.npy,music,-23.042837,-15.907486
012489_0008_tubestation07_12.wav.npy,music,-15.033995,11.393773
012537_0023_bus05_12.wav.npy,music,-11.884436,6.8200736
013928_0003_park03_12.wav.npy,music,42.911198,2.9593208
014318_0014_tube05_12.wav.npy,music,-22.279617,-20.684492
014363_0018_tube02_12.wav.npy,music,-27.734735,-19.248562
014542_0025_quietstreet01_12.wav.npy,music,36.955105,36.644943
014739_0029_office07_12.wav.npy,music,33.915092,5.246993
017608_0013_tube03_12.wav.npy,music,19.017155,14.1067
018350_0004_tubestation08_12.wav.npy,music,1.698219,1.211711
019674_0024_supermarket03_12.wav.npy,music,-23.35814,-11.881736
021085_0009_openairmarket07_12.wav.npy,music,60.196163,-10.329237
021995_0006_busystreet10_12.wav.npy,music,-4.0743113,26.136053
022094_0000_restaurant09_12.wav.npy,music,33.000988,0.55162823
022097_0006_bus06_12.wav.npy,music,13.440192,19.050241
022150_0030_restaurant01_12.wav.npy,music,-21.800909,-1.9832224
022475_0005_tubestation08_12.wav.npy,music,51.310307,-8.277054
022475_0017_bus10_12.wav.npy,music,75.263985,1.5875181
023037_0014_openairmarket01_12.wav.npy,music,54.525463,7.8334856
023172_0022_openairmarket02_12.wav.npy,music,64.0336,6.589231
024422_0005_bus01_12.wav.npy,music,-71.673904,20.074667
024427_0002_quietstreet10_12.wav.npy,music,-25.001448,-1.5492933
024427_0021_supermarket09_12.wav.npy,music,3.2997022,-10.757939
024521_0017_tubestation09_12.wav.npy,music,-19.847376,12.569191
024901_0026_bus01_12.wav.npy,music,75.16705,2.2162573
025215_0026_restaurant03_12.wav.npy,music,113.25435,-0.14941049
025215_0029_restaurant06_12.wav.npy,music,124.465576,-10.706127
025378_0014_tube02_12.wav.npy,music,40.554256,-10.389617
025608_0028_office07_12.wav.npy,music,95.819016,7.77266
026007_0004_office07_12.wav.npy,music,14.492336,1.0260161
026464_0025_park01_12.wav.npy,music,66.17202,19.571634
027611_0025_quietstreet01_12.wav.npy,music,37.868946,5.8517
027805_0008_tubestation06_12.wav.npy,music,73.16859,9.8440275
028484_0009_office01_12.wav.npy,music,84.94872,9.941436
028608_0017_tubestation01_12.wav.npy,music,21.525808,-2.7337756
029040_0018_quietstreet04_12.wav.npy,music,1.7361697,1.4196595
